affected_flow_count,fault_id,scenario_id,status,total_backend_ms
1,l_sw0025_sw0026,S1,SUCCESS_H2S,23.295851
1,l_sw0025_sw0026,S1,SUCCESS_H2S,23.637248
15,l_sw0004_sw0006,S1,SUCCESS_H2S,23.96775
15,l_sw0004_sw0006,S1,SUCCESS_H2S,23.36248
21,l_sw0023_sw0025,S1,SUCCESS_H2S,24.473888
21,l_sw0023_sw0025,S1,SUCCESS_H2S,24.148098
1,l_sw0025_sw0026,S1,SUCCESS_H2S,25.117092
15,l_sw0004_sw0006,S1,SUCCESS_H2S,23.741655
21,l_sw0023_sw0025,S1,SUCCESS_H2S,23.602891
1,l_sw0029_sw0030,S1,SUCCESS_H2S,22.771271
2,l_sw0002_sw0003,S1,SUCCESS_H2S,23.529387
2,l_sw0005_sw0006,S1,SUCCESS_H2S,23.219767
2,l_sw0008_sw0009,S1,SUCCESS_H2S,22.855097
2,l_sw0011_sw0012,S1,SUCCESS_H2S,23.044158
2,l_sw0016_sw0017,S1,SUCCESS_H2S,24.106165
2,l_sw0017_sw0018,S1,SUCCESS_H2S,23.697861
2,l_sw0019_sw0020,S1,SUCCESS_H2S,22.583038
2,l_sw0020_sw0021,S1,SUCCESS_H2S,23.417726
2,l_sw0023_sw0024,S1,SUCCESS_H2S,22.817679
2,l_sw0027_sw0028,S1,SUCCESS_H2S,23.164776
3,l_sw0004_sw0005,S1,SUCCESS_H2S,23.610368
3,l_sw0007_sw0008,S1,SUCCESS_H2S,24.475727
3,l_sw0010_sw0011,S1,SUCCESS_H2S,22.908533
3,l_sw0013_sw0014,S1,SUCCESS_H2S,22.993408
3,l_sw0014_sw0015,S1,SUCCESS_H2S,24.011253
3,l_sw0028_sw0029,S1,SUCCESS_H2S,22.839468
5,l_sw0001_sw0002,S1,SUCCESS_H2S,22.398854
5,l_sw0022_sw0023,S1,SUCCESS_H2S,23.571247
12,l_sw0022_sw0024,S1,SUCCESS_H2S,23.214756
14,l_sw0024_sw0026,S1,SUCCESS_H2S,23.152238
14,l_sw0028_sw0030,S1,SUCCESS_H2S,23.681508
15,l_sw0001_sw0003,S1,SUCCESS_H2S,23.72272
15,l_sw0002_sw0030,S1,SUCCESS_H2S,23.911005
15,l_sw0007_sw0009,S1,SUCCESS_H2S,23.15429
15,l_sw0010_sw0012,S1,SUCCESS_H2S,24.971749
15,l_sw0013_sw0015,S1,SUCCESS_H2S,24.199424
15,l_sw0016_sw0018,S1,SUCCESS_H2S,24.742412
15,l_sw0026_sw0028,S1,SUCCESS_H2S,24.844135
16,l_sw0019_sw0021,S1,SUCCESS_H2S,24.691622
17,l_sw0003_sw0005,S1,SUCCESS_H2S,24.48418
17,l_sw0006_sw0008,S1,SUCCESS_H2S,24.238587
17,l_sw0009_sw0011,S1,SUCCESS_H2S,25.044809
17,l_sw0012_sw0014,S1,SUCCESS_H2S,23.992918
17,l_sw0014_sw0016,S1,SUCCESS_H2S,24.379967
17,l_sw0018_sw0020,S1,SUCCESS_H2S,24.711653
17,l_sw0020_sw0022,S1,SUCCESS_H2S,23.95187
18,l_sw0002_sw0004,S1,SUCCESS_H2S,24.278271
18,l_sw0005_sw0007,S1,SUCCESS_H2S,23.978185
18,l_sw0008_sw0010,S1,SUCCESS_H2S,24.531357
18,l_sw0011_sw0013,S1,SUCCESS_H2S,27.060027
18,l_sw0015_sw0017,S1,SUCCESS_H2S,24.436709
18,l_sw0017_sw0019,S1,SUCCESS_H2S,35.000753
18,l_sw0021_sw0023,S1,SUCCESS_H2S,24.377093
18,l_sw0027_sw0029,S1,SUCCESS_H2S,24.619331
20,l_sw0001_sw0029,S1,SUCCESS_H2S,24.218877
20,l_sw0025_sw0027,S1,SUCCESS_H2S,24.274276
1,l_sw0002_sw0003,S2,SUCCESS_H2S,45.440621
39,l_sw0054_sw0056,S2,SUCCESS_H2S,49.650542
49,l_sw0001_sw0059,S2,SUCCESS_H2S,49.073003
1,l_sw0005_sw0006,S2,SUCCESS_H2S,44.638087
1,l_sw0008_sw0009,S2,SUCCESS_H2S,45.684795
1,l_sw0011_sw0012,S2,SUCCESS_H2S,45.648938
1,l_sw0014_sw0015,S2,SUCCESS_H2S,44.977118
1,l_sw0017_sw0018,S2,SUCCESS_H2S,44.733112
1,l_sw0020_sw0021,S2,SUCCESS_H2S,57.904629
1,l_sw0023_sw0024,S2,SUCCESS_H2S,46.272413
1,l_sw0028_sw0029,S2,SUCCESS_H2S,45.673608
1,l_sw0029_sw0030,S2,SUCCESS_H2S,45.75012
1,l_sw0037_sw0038,S2,SUCCESS_H2S,45.577899
1,l_sw0042_sw0043,S2,SUCCESS_H2S,45.386949
1,l_sw0044_sw0045,S2,SUCCESS_H2S,45.968891
1,l_sw0047_sw0048,S2,SUCCESS_H2S,44.886354
1,l_sw0050_sw0051,S2,SUCCESS_H2S,44.660696
1,l_sw0053_sw0054,S2,SUCCESS_H2S,46.80551
1,l_sw0056_sw0057,S2,SUCCESS_H2S,58.298638
2,l_sw0026_sw0027,S2,SUCCESS_H2S,45.765928
2,l_sw0034_sw0035,S2,SUCCESS_H2S,45.046936
2,l_sw0035_sw0036,S2,SUCCESS_H2S,45.822443
2,l_sw0059_sw0060,S2,SUCCESS_H2S,45.113344
3,l_sw0036_sw0037,S2,SUCCESS_H2S,46.136409
4,l_sw0004_sw0005,S2,SUCCESS_H2S,45.879634
4,l_sw0007_sw0008,S2,SUCCESS_H2S,46.038408
4,l_sw0010_sw0011,S2,SUCCESS_H2S,46.557883
4,l_sw0013_sw0014,S2,SUCCESS_H2S,46.600647
4,l_sw0016_sw0017,S2,SUCCESS_H2S,57.657132
4,l_sw0019_sw0020,S2,SUCCESS_H2S,45.998047
4,l_sw0022_sw0023,S2,SUCCESS_H2S,44.855375
4,l_sw0025_sw0026,S2,SUCCESS_H2S,46.617055
4,l_sw0031_sw0032,S2,SUCCESS_H2S,46.984761
4,l_sw0043_sw0044,S2,SUCCESS_H2S,45.639296
4,l_sw0046_sw0047,S2,SUCCESS_H2S,47.087073
4,l_sw0052_sw0053,S2,SUCCESS_H2S,45.397911
4,l_sw0058_sw0059,S2,SUCCESS_H2S,46.080825
5,l_sw0049_sw0050,S2,SUCCESS_H2S,46.233932
6,l_sw0040_sw0041,S2,SUCCESS_H2S,58.579554
9,l_sw0001_sw0002,S2,SUCCESS_H2S,46.522848
34,l_sw0058_sw0060,S2,SUCCESS_H2S,49.431883
36,l_sw0002_sw0060,S2,SUCCESS_H2S,49.696826
37,l_sw0046_sw0048,S2,SUCCESS_H2S,48.492882
38,l_sw0031_sw0033,S2,SUCCESS_H2S,48.306947
38,l_sw0033_sw0035,S2,SUCCESS_H2S,49.008382
38,l_sw0035_sw0037,S2,SUCCESS_H2S,49.177427
38,l_sw0042_sw0044,S2,SUCCESS_H2S,49.214261
38,l_sw0048_sw0050,S2,SUCCESS_H2S,48.503325
38,l_sw0052_sw0054,S2,SUCCESS_H2S,60.439937
38,l_sw0056_sw0058,S2,SUCCESS_H2S,49.213567
39,l_sw0040_sw0042,S2,SUCCESS_H2S,48.23794
40,l_sw0001_sw0003,S2,SUCCESS_H2S,50.137916
40,l_sw0004_sw0006,S2,SUCCESS_H2S,48.753438
40,l_sw0007_sw0009,S2,SUCCESS_H2S,49.054803
40,l_sw0010_sw0012,S2,SUCCESS_H2S,50.257567
40,l_sw0013_sw0015,S2,SUCCESS_H2S,50.266069
40,l_sw0016_sw0018,S2,SUCCESS_H2S,48.51029
40,l_sw0019_sw0021,S2,SUCCESS_H2S,49.754965
40,l_sw0022_sw0024,S2,SUCCESS_H2S,48.682864
40,l_sw0025_sw0027,S2,SUCCESS_H2S,61.229539
40,l_sw0037_sw0039,S2,SUCCESS_H2S,49.506691
40,l_sw0039_sw0041,S2,SUCCESS_H2S,49.542044
41,l_sw0003_sw0005,S2,SUCCESS_H2S,48.681888
41,l_sw0006_sw0008,S2,SUCCESS_H2S,48.915822
41,l_sw0009_sw0011,S2,SUCCESS_H2S,48.546811
41,l_sw0012_sw0014,S2,SUCCESS_H2S,49.678019
41,l_sw0015_sw0017,S2,SUCCESS_H2S,48.407169
41,l_sw0018_sw0020,S2,SUCCESS_H2S,49.383658
41,l_sw0021_sw0023,S2,SUCCESS_H2S,50.289957
41,l_sw0024_sw0026,S2,SUCCESS_H2S,61.573103
41,l_sw0044_sw0046,S2,SUCCESS_H2S,48.605164
42,l_sw0027_sw0029,S2,SUCCESS_H2S,49.067191
42,l_sw0028_sw0030,S2,SUCCESS_H2S,50.120563
42,l_sw0029_sw0031,S2,SUCCESS_H2S,49.223517
42,l_sw0049_sw0051,S2,SUCCESS_H2S,48.945937
42,l_sw0050_sw0052,S2,SUCCESS_H2S,49.351857
43,l_sw0026_sw0028,S2,SUCCESS_H2S,49.62666
43,l_sw0030_sw0032,S2,SUCCESS_H2S,49.18081
43,l_sw0043_sw0045,S2,SUCCESS_H2S,49.56997
43,l_sw0051_sw0053,S2,SUCCESS_H2S,50.820572
44,l_sw0002_sw0004,S2,SUCCESS_H2S,60.631582
44,l_sw0005_sw0007,S2,SUCCESS_H2S,48.345822
44,l_sw0008_sw0010,S2,SUCCESS_H2S,49.568522
44,l_sw0011_sw0013,S2,SUCCESS_H2S,50.003022
44,l_sw0014_sw0016,S2,SUCCESS_H2S,49.8952
44,l_sw0017_sw0019,S2,SUCCESS_H2S,49.275309
44,l_sw0020_sw0022,S2,SUCCESS_H2S,50.645651
44,l_sw0023_sw0025,S2,SUCCESS_H2S,48.331208
44,l_sw0036_sw0038,S2,SUCCESS_H2S,49.37956
44,l_sw0045_sw0047,S2,SUCCESS_H2S,49.881657
45,l_sw0034_sw0036,S2,SUCCESS_H2S,48.635118
45,l_sw0038_sw0040,S2,SUCCESS_H2S,62.020307
46,l_sw0041_sw0043,S2,SUCCESS_H2S,50.06098
46,l_sw0053_sw0055,S2,SUCCESS_H2S,48.938968
46,l_sw0055_sw0057,S2,SUCCESS_H2S,50.081568
47,l_sw0032_sw0034,S2,SUCCESS_H2S,49.617029
47,l_sw0047_sw0049,S2,SUCCESS_H2S,49.574364
47,l_sw0057_sw0059,S2,SUCCESS_H2S,48.867021
195,l_sw0001_sw0003,S3,SUCCESS_H2S,150.544058
195,l_sw0049_sw0051,S3,SUCCESS_H2S,166.003797
195,l_sw0097_sw0099,S3,SUCCESS_H2S,153.924424
195,l_sw0001_sw0099,S3,SUCCESS_H2S,153.893087
195,l_sw0003_sw0005,S3,SUCCESS_H2S,153.406391
195,l_sw0005_sw0007,S3,SUCCESS_H2S,168.958523
195,l_sw0007_sw0009,S3,SUCCESS_H2S,152.782688
195,l_sw0009_sw0011,S3,SUCCESS_H2S,152.679421
195,l_sw0011_sw0013,S3,SUCCESS_H2S,152.807419
195,l_sw0013_sw0015,S3,SUCCESS_H2S,152.947731
195,l_sw0015_sw0017,S3,SUCCESS_H2S,152.235684
195,l_sw0017_sw0019,S3,SUCCESS_H2S,167.045718
195,l_sw0019_sw0021,S3,SUCCESS_H2S,151.307336
195,l_sw0021_sw0023,S3,SUCCESS_H2S,157.933258
195,l_sw0023_sw0025,S3,SUCCESS_H2S,152.870837
195,l_sw0025_sw0027,S3,SUCCESS_H2S,151.937605
195,l_sw0027_sw0029,S3,SUCCESS_H2S,165.507837
195,l_sw0029_sw0031,S3,SUCCESS_H2S,149.797229
195,l_sw0031_sw0033,S3,SUCCESS_H2S,151.315749
195,l_sw0033_sw0035,S3,SUCCESS_H2S,152.910732
195,l_sw0035_sw0037,S3,SUCCESS_H2S,167.375866
195,l_sw0037_sw0039,S3,SUCCESS_H2S,149.877837
195,l_sw0039_sw0041,S3,SUCCESS_H2S,154.189895
195,l_sw0041_sw0043,S3,SUCCESS_H2S,153.334308
195,l_sw0043_sw0045,S3,SUCCESS_H2S,151.399784
195,l_sw0045_sw0047,S3,SUCCESS_H2S,155.0436
195,l_sw0047_sw0049,S3,SUCCESS_H2S,166.480518
195,l_sw0051_sw0053,S3,SUCCESS_H2S,155.871984
195,l_sw0053_sw0055,S3,SUCCESS_H2S,153.386729
195,l_sw0055_sw0057,S3,SUCCESS_H2S,159.756291
195,l_sw0057_sw0059,S3,SUCCESS_H2S,161.211601
195,l_sw0059_sw0061,S3,SUCCESS_H2S,175.68217
195,l_sw0061_sw0063,S3,SUCCESS_H2S,155.764757
195,l_sw0063_sw0065,S3,SUCCESS_H2S,150.159756
195,l_sw0065_sw0067,S3,SUCCESS_H2S,153.062213
195,l_sw0067_sw0069,S3,SUCCESS_H2S,170.848367
195,l_sw0069_sw0071,S3,SUCCESS_H2S,153.340821
195,l_sw0071_sw0073,S3,SUCCESS_H2S,152.449466
195,l_sw0073_sw0075,S3,SUCCESS_H2S,153.277902
195,l_sw0075_sw0077,S3,SUCCESS_H2S,167.588184
195,l_sw0077_sw0079,S3,SUCCESS_H2S,162.624117
195,l_sw0079_sw0081,S3,SUCCESS_H2S,165.46286
195,l_sw0081_sw0083,S3,SUCCESS_H2S,158.104181
195,l_sw0083_sw0085,S3,SUCCESS_H2S,152.693516
195,l_sw0085_sw0087,S3,SUCCESS_H2S,155.658306
195,l_sw0087_sw0089,S3,SUCCESS_H2S,153.025008
195,l_sw0089_sw0091,S3,SUCCESS_H2S,167.632031
195,l_sw0091_sw0093,S3,SUCCESS_H2S,154.240315
195,l_sw0093_sw0095,S3,SUCCESS_H2S,154.120179
195,l_sw0095_sw0097,S3,SUCCESS_H2S,161.243432
1,l_sw0018_sw0019,S4,SUCCESS_H2S,325.523346
109,l_sw0030_sw0032,S4,SUCCESS_H2S,333.846848
125,l_sw0159_sw0161,S4,HEURISTIC_NOT_FOUND,605.839235
1,l_sw0117_sw0118,S4,SUCCESS_H2S,319.532493
2,l_sw0041_sw0042,S4,SUCCESS_H2S,304.274691
2,l_sw0079_sw0080,S4,SUCCESS_H2S,306.306118
2,l_sw0126_sw0127,S4,SUCCESS_H2S,313.345293
2,l_sw0162_sw0163,S4,SUCCESS_H2S,307.437086
3,l_sw0063_sw0064,S4,SUCCESS_H2S,333.554751
3,l_sw0135_sw0136,S4,SUCCESS_H2S,322.17
3,l_sw0136_sw0137,S4,SUCCESS_H2S,305.371672
4,l_sw0037_sw0038,S4,SUCCESS_H2S,302.760323
4,l_sw0088_sw0089,S4,SUCCESS_H2S,320.171684
4,l_sw0156_sw0157,S4,SUCCESS_H2S,306.587967
6,l_sw0093_sw0094,S4,SUCCESS_H2S,314.482959
102,l_sw0062_sw0064,S4,SUCCESS_H2S,324.729382
104,l_sw0077_sw0079,S4,SUCCESS_H2S,347.646541
105,l_sw0088_sw0090,S4,SUCCESS_H2S,322.830225
105,l_sw0090_sw0092,S4,SUCCESS_H2S,346.128896
106,l_sw0085_sw0087,S4,SUCCESS_H2S,331.539733
107,l_sw0105_sw0107,S4,SUCCESS_H2S,332.742317
108,l_sw0114_sw0116,S4,HEURISTIC_NOT_FOUND,615.126735
109,l_sw0100_sw0102,S4,SUCCESS_H2S,323.340769
110,l_sw0067_sw0069,S4,SUCCESS_H2S,331.488682
111,l_sw0011_sw0013,S4,SUCCESS_H2S,337.291451
111,l_sw0099_sw0101,S4,SUCCESS_H2S,330.341456
112,l_sw0042_sw0044,S4,SUCCESS_H2S,339.392377
113,l_sw0013_sw0015,S4,SUCCESS_H2S,327.762241
113,l_sw0128_sw0130,S4,SUCCESS_H2S,334.168469
114,l_sw0065_sw0067,S4,SUCCESS_H2S,327.858055
114,l_sw0117_sw0119,S4,SUCCESS_H2S,347.593479
114,l_sw0164_sw0166,S4,HEURISTIC_NOT_FOUND,608.539532
115,l_sw0106_sw0108,S4,SUCCESS_H2S,333.859164
115,l_sw0108_sw0110,S4,SUCCESS_H2S,340.2986
116,l_sw0151_sw0153,S4,HEURISTIC_NOT_FOUND,590.432179
118,l_sw0008_sw0010,S4,HEURISTIC_NOT_FOUND,617.654029
118,l_sw0149_sw0151,S4,HEURISTIC_NOT_FOUND,605.196897
120,l_sw0010_sw0012,S4,SUCCESS_H2S,341.310868
121,l_sw0161_sw0163,S4,HEURISTIC_NOT_FOUND,598.035497
122,l_sw0165_sw0167,S4,HEURISTIC_NOT_FOUND,625.484402
1,l_sw0015_sw0016,S5,SUCCESS_H2S,562.964671
197,l_sw0113_sw0115,S5,HEURISTIC_NOT_FOUND,1049.407389
224,l_sw0167_sw0169,S5,HEURISTIC_NOT_FOUND,1013.01118
1,l_sw0143_sw0144,S5,SUCCESS_H2S,554.274253
2,l_sw0039_sw0040,S5,SUCCESS_H2S,578.267513
2,l_sw0101_sw0102,S5,SUCCESS_H2S,550.189405
2,l_sw0132_sw0133,S5,SUCCESS_H2S,565.132249
3,l_sw0012_sw0013,S5,SUCCESS_H2S,566.51462
3,l_sw0056_sw0057,S5,SUCCESS_H2S,559.55408
3,l_sw0094_sw0095,S5,HEURISTIC_NOT_FOUND,1039.736985
3,l_sw0097_sw0098,S5,SUCCESS_H2S,548.534218
3,l_sw0160_sw0161,S5,SUCCESS_H2S,580.373344
4,l_sw0067_sw0068,S5,SUCCESS_H2S,540.282151
5,l_sw0035_sw0036,S5,SUCCESS_H2S,547.276346
5,l_sw0153_sw0154,S5,SUCCESS_H2S,579.967066
6,l_sw0115_sw0116,S5,SUCCESS_H2S,547.597131
7,l_sw0110_sw0111,S5,SUCCESS_H2S,554.582253
11,l_sw0149_sw0150,S5,SUCCESS_H2S,575.97979
187,l_sw0079_sw0081,S5,HEURISTIC_NOT_FOUND,1022.682125
194,l_sw0062_sw0064,S5,HEURISTIC_NOT_FOUND,1049.005628
196,l_sw0041_sw0043,S5,HEURISTIC_NOT_FOUND,998.709135
197,l_sw0047_sw0049,S5,HEURISTIC_NOT_FOUND,1012.614798
198,l_sw0103_sw0105,S5,HEURISTIC_NOT_FOUND,1060.612845
199,l_sw0148_sw0150,S5,HEURISTIC_NOT_FOUND,1005.146525
200,l_sw0100_sw0102,S5,HEURISTIC_NOT_FOUND,1002.962907
202,l_sw0094_sw0096,S5,HEURISTIC_NOT_FOUND,1031.880123
203,l_sw0164_sw0166,S5,HEURISTIC_NOT_FOUND,1032.869826
205,l_sw0168_sw0170,S5,HEURISTIC_NOT_FOUND,1058.614657
206,l_sw0118_sw0120,S5,HEURISTIC_NOT_FOUND,1023.887212
207,l_sw0074_sw0076,S5,HEURISTIC_NOT_FOUND,1050.588306
208,l_sw0059_sw0061,S5,HEURISTIC_NOT_FOUND,1013.071263
209,l_sw0152_sw0154,S5,HEURISTIC_NOT_FOUND,1004.766333
